Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
14.115,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
12.515,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
12.295000000000002,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
12.18,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
13.395,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
17.715,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
10.35,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
12.11,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
16.845,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
14.975,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
12.39,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
13.425,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
14.885,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
13.01,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
11.59,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
11.895,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
16.61,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
13.275,15.255556501370842,4.25,0.02462130714761024,125,2450,0.93167720538857135,0.059500000000000004
10.71,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
13.65,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
10.605,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
13.65,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
12.905,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
14.555,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
9.955,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
15.43,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
